"chr" "start" "end" "value" "area" "cluster" "indexStart" "indexEnd" "L" "clusterL"
"425" "chr1" 157811303 157811724 0.0284932387934008 0.0569864775868015 6483 9726 9727 2 2
"1091" "chrX" 130676918 130677363 0.0284101511086419 0.0568203022172838 12543 22615 22616 2 2
"759" "chrX" 35644034 35644036 0.0282161487978526 0.0564322975957053 10145 15879 15880 2 5
"1657" "chr1" 161168856 161168889 -0.0282021422432995 0.0564042844865991 6659 9985 9986 2 2
"1753" "chr1" 223538359 223538379 -0.028194824810109 0.056389649620218 8387 12455 12456 2 3
"1492" "chr1" 53527576 53527665 -0.0280442951620387 0.0560885903240773 4008 5993 5994 2 4
"674" "chrX" 5470075 5470290 0.0280401127081944 0.0560802254163888 9486 14080 14081 2 2
"1812" "chrX" 3630086 3630407 -0.0278692388310652 0.0557384776621305 9471 14049 14050 2 10
"1419" "chr1" 40137966 40138052 -0.0278668425910613 0.0557336851821225 3337 4911 4912 2 3
"1295" "chr1" 9884565 9884732 -0.0278640682972915 0.0557281365945829 1366 2030 2031 2 2
"1685" "chr1" 180923076 180923340 -0.0278267485708055 0.0556534971416111 7202 10786 10787 2 2
"1430" "chr1" 41847267 41847297 -0.0278238680313752 0.0556477360627504 3446 5091 5092 2 2
"1160" "chrX" 146354958 146354961 0.0277731811740425 0.055546362348085 12924 23689 23690 2 2
"679" "chrX" 6452751 6453041 0.02776890494542 0.0555378098908401 9500 14113 14114 2 2
"1787" "chr1" 232941055 232941530 -0.0277228558170245 0.0554457116340489 8877 13177 13178 2 5
"644" "chr1" 247921487 247921568 0.0274444406439195 0.054888881287839 9366 13863 13864 2 2
"725" "chrX" 18239095 18239282 0.0273678302703675 0.0547356605407349 9837 15005 15006 2 10
"1293" "chr1" 9258836 9259066 -0.0272138043469938 0.0544276086939875 1294 1935 1936 2 2
"1481" "chr1" 50885132 50885352 -0.0271377057798676 0.0542754115597352 3903 5808 5809 2 2
"26" "chr1" 2827410 2827681 0.0271028933802977 0.0542057867605955 590 902 903 2 2
"1597" "chr1" 146550467 146550796 -0.0270120506809488 0.0540241013618975 5714 8533 8534 2 2
"965" "chrX" 80259473 80259692 0.0269344974518486 0.0538689949036973 11582 19857 19858 2 5
"1808" "chr1" 246952362 246952508 -0.0269320613789447 0.0538641227578894 9305 13771 13772 2 3
"1250" "chr1" 2137307 2137325 -0.0268179265620423 0.0536358531240847 397 623 624 2 3
"1566" "chr1" 110610995 110611465 -0.0268107445127602 0.0536214890255204 5232 7816 7817 2 2
"1323" "chr1" 17019133 17019474 -0.0267649393327408 0.0535298786654816 1864 2719 2720 2 2
"1330" "chr1" 17306885 17307215 -0.0267595906406545 0.053519181281309 1903 2775 2776 2 4
"1511" "chr1" 63787586 63787670 -0.0266949043683963 0.0533898087367926 4340 6456 6457 2 2
"1948" "chrX" 118407645 118407852 -0.0266882616587997 0.0533765233175994 12245 21747 21748 2 5
"458" "chr1" 163392909 163393050 0.0266373730651696 0.0532747461303393 6758 10136 10137 2 4
"943" "chrX" 74744538 74744787 0.0264881121964192 0.0529762243928384 11502 19633 19634 2 2
"939" "chrX" 74146414 74146608 0.026426333060716 0.052852666121432 11492 19599 19600 2 3
"1721" "chr1" 205424972 205425241 -0.0263826184711594 0.0527652369423188 7828 11666 11667 2 6
"1245" "chr1" 1695509 1695585 -0.0263774550818106 0.0527549101636212 280 441 442 2 2
"395" "chr1" 153175842 153176083 0.026360658981825 0.0527213179636501 6076 9097 9098 2 2
"1995" "chrX" 152913300 152913595 -0.0263441844667766 0.0526883689335531 13209 24402 24403 2 2
"600" "chr1" 237167524 237167651 0.0263044054299877 0.0526088108599754 9046 13428 13429 2 2
"1873" "chrX" 40017883 40017965 -0.0262997550501917 0.0525995101003835 10308 16286 16287 2 7
"295" "chr1" 84944298 84944699 0.0262002505984682 0.0524005011969363 4666 6936 6937 2 3
"1288" "chr1" 8277080 8277394 -0.0261985267125249 0.0523970534250497 1213 1822 1823 2 2
"471" "chr1" 165329268 165329719 0.0261690773904762 0.0523381547809524 6795 10180 10181 2 2
"843" "chrX" 52840332 52840736 0.0261160888166892 0.0522321776333783 10887 17906 17907 2 7
"1388" "chr1" 32237923 32238105 -0.0260867309106628 0.0521734618213255 2885 4222 4223 2 2
"1216" "chrY" 3447814 3447947 0.0260270470295623 0.0520540940591246 13488 25214 25215 2 2
"968" "chrX" 84364131 84364350 0.0259977990815634 0.0519955981631268 11605 19944 19945 2 5
"1103" "chrX" 134975819 134975921 0.0259563317656953 0.0519126635313907 12690 23062 23063 2 4
"963" "chrX" 79828776 79828920 0.0258269178221189 0.0516538356442379 11575 19834 19835 2 4
"240" "chr1" 39185780 39186151 0.0257998162643828 0.0515996325287656 3286 4841 4842 2 2
"923" "chrX" 71354944 71355311 0.025786070617663 0.051572141235326 11403 19329 19330 2 2
